cycle,start_fitness,mid_fitness,edge_fitness,start_het,mid_het,edge_het,current_deme
2961,0.952322,0.87933,0.707608,8.10227e-05,5.38979e-05,1.625e-06,97
2971,0.960682,0.877785,0.707608,8.37583e-05,5.63153e-05,1.0e-06,99
2981,0.958179,0.874887,0.707608,8.40019e-05,5.74189e-05,2.5e-06,100
2991,0.963056,0.87584,0.706194,8.60408e-05,5.67289e-05,1.43125e-06,101
3001,0.954452,0.872407,0.700549,8.61996e-05,5.62726e-05,0.0,105
3011,0.961846,0.874696,0.700549,8.80181e-05,5.85036e-05,2.1875e-07,106
3021,0.96168,0.868575,0.700549,8.50721e-05,5.97022e-05,7.5e-07,107
3031,0.954038,0.875569,0.700549,8.35608e-05,5.83994e-05,5.0e-07,109
3041,0.960273,0.871828,0.700549,8.82347e-05,5.99209e-05,5.65972e-07,110
3051,0.96455,0.872441,0.700549,8.64696e-05,5.91441e-05,2.05402e-06,111
3061,0.956663,0.873887,0.700549,8.60499e-05,5.98459e-05,2.0e-06,113
3071,0.96309,0.86954,0.700549,8.63975e-05,5.8295e-05,0.0,115
3081,0.965889,0.86347,0.700549,8.90732e-05,6.00337e-05,8.004e-07,115
3091,0.957496,0.870937,0.700549,8.74961e-05,5.90255e-05,1.59066e-06,116
3101,0.957942,0.87752,0.700549,8.72343e-05,5.89824e-05,2.33594e-06,117
3111,0.962721,0.876173,0.700549,8.88986e-05,6.17876e-05,1.48611e-06,119
3121,0.96382,0.877703,0.700549,8.91863e-05,6.11466e-05,1.64931e-06,120
3131,0.959338,0.874656,0.700549,8.97295e-05,6.01515e-05,2.10156e-06,121
3141,0.959198,0.871382,0.699966,9.12083e-05,6.11073e-05,2.36285e-06,123
3151,0.964594,0.876871,0.700549,9.61484e-05,6.15213e-05,2.95833e-06,125
3161,0.962093,0.875206,0.700549,9.72633e-05,6.21657e-05,1.58e-06,126
3171,0.963779,0.870577,0.697047,9.80364e-05,6.12858e-05,1.875e-06,128
3181,0.967773,0.873132,0.700549,9.91905e-05,6.23689e-05,1.875e-06,129
3191,0.964981,0.873242,0.694996,0.000100026,6.24917e-05,1.56704e-06,130
