cycle,start_fitness,mid_fitness,edge_fitness,current_deme
6841,1.00614,0.90847,0.861386,459
6851,1.00535,0.907196,0.859774,463
6861,1.00503,0.907299,0.859774,465
6871,1.00646,0.909728,0.860524,466
6881,1.00149,0.90902,0.860547,468
6891,1.00872,0.908479,0.859908,471
6901,1.00564,0.906637,0.859474,474
6911,1.00687,0.905297,0.858791,477
6921,1.00028,0.90553,0.858995,479
6931,1.00636,0.905807,0.859027,483
6941,1.00866,0.903563,0.858886,485
6951,1.00764,0.905851,0.858674,488
6961,1.00741,0.904329,0.858686,490
6971,1.00393,0.902312,0.859249,492
6981,1.00942,0.902476,0.859938,495
6991,1.00984,0.900201,0.859754,498
7001,1.01251,0.898926,0.859513,500
